rank,n_cases,mean_dice,std_dice,min_dice,max_dice,mean_hd95,std_hd95,n_inf_hd95,mean_precision,mean_recall,mean_f1,mean_n_pred_lesions,mean_n_gt_lesions,mean_n_tp_lesions,elapsed_sec,MORPH_RADIUS,GAUSSIAN_SIGMA,FLAIR_MIN_THRESHOLD,DIFF_PERCENTILE,DIFF_MIN_THRESHOLD,BRAIN_EROSION_RADIUS,MIN_LESION_VOXELS
63,60,0.1448,0.1996,0.0,0.7462,62.414,15.7252,0,0.0507,0.0187,0.0258,28.25,78.75,1.4,55.4,1,1.0,0.1,97.0,0.7,3,15
64,60,0.1448,0.1996,0.0,0.7462,62.414,15.7252,0,0.0507,0.0187,0.0258,28.25,78.75,1.4,55.66,1,1.0,0.3,97.0,0.3,3,15
65,60,0.1448,0.1996,0.0,0.7462,62.414,15.7252,0,0.0507,0.0187,0.0258,28.25,78.75,1.4,55.42,1,1.0,0.3,97.0,0.5,3,15
66,60,0.1448,0.1996,0.0,0.7462,62.414,15.7252,0,0.0507,0.0187,0.0258,28.25,78.75,1.4,55.6,1,1.0,0.3,97.0,0.7,3,15
67,60,0.1448,0.1997,0.0,0.7462,62.4493,15.7185,0,0.05,0.0187,0.0256,29.4667,78.75,1.4,55.25,1,1.0,0.5,97.0,0.3,3,3
68,60,0.1448,0.1997,0.0,0.7462,62.4493,15.7185,0,0.05,0.0187,0.0256,29.4667,78.75,1.4,55.01,1,1.0,0.5,97.0,0.3,3,7
69,60,0.1448,0.1997,0.0,0.7462,62.4493,15.7185,0,0.05,0.0187,0.0256,29.4667,78.75,1.4,55.32,1,1.0,0.5,97.0,0.5,3,3
70,60,0.1448,0.1997,0.0,0.7462,62.4493,15.7185,0,0.05,0.0187,0.0256,29.4667,78.75,1.4,55.24,1,1.0,0.5,97.0,0.5,3,7
71,60,0.1448,0.1997,0.0,0.7462,62.4493,15.7185,0,0.05,0.0187,0.0256,29.4667,78.75,1.4,55.3,1,1.0,0.5,97.0,0.7,3,3
72,60,0.1448,0.1997,0.0,0.7462,62.4493,15.7185,0,0.05,0.0187,0.0256,29.4667,78.75,1.4,54.95,1,1.0,0.5,97.0,0.7,3,7
73,60,0.1447,0.197,0.0,0.743,60.301,14.9926,0,0.04,0.0193,0.0247,36.1,78.75,1.4667,63.1,1,1.0,0.5,96.0,0.3,5,15
74,60,0.1447,0.197,0.0,0.743,60.301,14.9926,0,0.04,0.0193,0.0247,36.1,78.75,1.4667,63.52,1,1.0,0.5,96.0,0.5,5,15
75,60,0.1447,0.197,0.0,0.743,60.301,14.9926,0,0.04,0.0193,0.0247,36.1,78.75,1.4667,62.56,1,1.0,0.5,96.0,0.7,5,15
76,60,0.1446,0.2006,0.0,0.7451,62.8252,16.0189,0,0.0534,0.0185,0.0259,26.5667,78.75,1.3833,56.35,1,1.0,0.1,97.0,0.3,5,15
77,60,0.1446,0.2006,0.0,0.7451,62.8252,16.0189,0,0.0534,0.0185,0.0259,26.5667,78.75,1.3833,56.44,1,1.0,0.1,97.0,0.5,5,15
78,60,0.1446,0.2006,0.0,0.7451,62.8252,16.0189,0,0.0534,0.0185,0.0259,26.5667,78.75,1.3833,56.55,1,1.0,0.1,97.0,0.7,5,15
79,60,0.1446,0.2006,0.0,0.7451,62.8252,16.0189,0,0.0534,0.0185,0.0259,26.5667,78.75,1.3833,56.35,1,1.0,0.3,97.0,0.3,5,15
80,60,0.1446,0.2006,0.0,0.7451,62.8252,16.0189,0,0.0534,0.0185,0.0259,26.5667,78.75,1.3833,56.6,1,1.0,0.3,97.0,0.5,5,15
81,60,0.1446,0.2006,0.0,0.7451,62.8252,16.0189,0,0.0534,0.0185,0.0259,26.5667,78.75,1.3833,56.52,1,1.0,0.3,97.0,0.7,5,15
82,60,0.1446,0.2007,0.0,0.7451,62.8563,16.0166,0,0.0528,0.0185,0.0257,27.7833,78.75,1.3833,56.24,1,1.0,0.5,97.0,0.3,5,3
83,60,0.1446,0.2007,0.0,0.7451,62.8563,16.0166,0,0.0528,0.0185,0.0257,27.7833,78.75,1.3833,56.01,1,1.0,0.5,97.0,0.3,5,7
84,60,0.1446,0.2007,0.0,0.7451,62.8563,16.0166,0,0.0528,0.0185,0.0257,27.7833,78.75,1.3833,56.23,1,1.0,0.5,97.0,0.5,5,3
85,60,0.1446,0.2007,0.0,0.7451,62.8563,16.0166,0,0.0528,0.0185,0.0257,27.7833,78.75,1.3833,56.1,1,1.0,0.5,97.0,0.5,5,7
86,60,0.1446,0.2007,0.0,0.7451,62.8563,16.0166,0,0.0528,0.0185,0.0257,27.7833,78.75,1.3833,56.11,1,1.0,0.5,97.0,0.7,5,3
87,60,0.1446,0.2007,0.0,0.7451,62.8563,16.0166,0,0.0528,0.0185,0.0257,27.7833,78.75,1.3833,56.16,1,1.0,0.5,97.0,0.7,5,7
88,60,0.1446,0.1995,0.0,0.7462,62.4678,15.7297,0,0.0499,0.0187,0.0256,29.55,78.75,1.4,55.47,1,1.0,0.1,97.0,0.3,3,3
89,60,0.1446,0.1995,0.0,0.7462,62.4678,15.7297,0,0.0499,0.0187,0.0256,29.55,78.75,1.4,55.46,1,1.0,0.1,97.0,0.3,3,7
90,60,0.1446,0.1995,0.0,0.7462,62.4678,15.7297,0,0.0499,0.0187,0.0256,29.55,78.75,1.4,55.45,1,1.0,0.1,97.0,0.5,3,3
91,60,0.1446,0.1995,0.0,0.7462,62.4678,15.7297,0,0.0499,0.0187,0.0256,29.55,78.75,1.4,55.52,1,1.0,0.1,97.0,0.5,3,7
